herb,frequency,degree,weighted_degree,degree_centrality,betweenness_centrality,eigenvector_centrality
小蓟,2,15,17,0.04143646408839779,0.001506157336569775,0.0026974413009131734
牵牛子,2,14,17,0.03867403314917127,0.000830798710134508,0.002279121597196425
白蔻,1,17,17,0.04696132596685083,0.0006834801994993842,0.004865010763640241
青黛,3,15,16,0.04143646408839779,0.0023518244569547546,0.004328411425273249
檀香,2,16,16,0.04419889502762431,0.00043700552165168064,0.0011990973478839663
地龙,2,15,16,0.04143646408839779,0.00040133028622889875,0.003781619710350328
紫菀,2,14,16,0.03867403314917127,0.0008436631910471142,0.007753157161680072
龙胆,2,13,16,0.03591160220994475,0.000137116575793079,0.00472749224355978
白果,2,8,16,0.022099447513812154,0.0,0.007559713064451466
肾,1,16,16,0.04419889502762431,0.00043550519214735335,0.006873969384388027
鸡内金,1,16,16,0.04419889502762431,0.00043550519214735335,0.006873969384388027
乌药,4,13,15,0.03591160220994475,0.0009819125360581464,0.0015880754729895165
甘遂,4,11,15,0.03038674033149171,0.001113466969442268,0.0018324909131785844
赭石,3,15,15,0.04143646408839779,0.002290751161025286,0.005269821696456778
轻粉,2,15,15,0.04143646408839779,0.0023263807644748604,0.0032325038210237553
僵蚕,2,15,15,0.04143646408839779,0.0006616845559412268,0.004212374077492655
丹参,2,15,15,0.04143646408839779,0.0006289528962245479,0.003466243131356121
糯米,2,14,15,0.03867403314917127,0.0008287875115842555,0.0065624646004711525
旋覆花,2,11,15,0.03038674033149171,9.732296248002477e-05,0.009730755745639627
百合,5,13,14,0.03591160220994475,0.0010077246659212205,0.0043504407466697405
白矾,3,13,14,0.03591160220994475,0.0020145556142045686,0.002202048343222745
血竭,2,14,14,0.03867403314917127,0.0016675793826080915,0.0027702886028433864
地榆,2,7,14,0.019337016574585635,3.1774264625345078e-06,0.006804712851894566
苏合香,1,14,14,0.03867403314917127,5.4304164163748676e-05,0.0010910986987535652
荜茇,1,14,14,0.03867403314917127,5.4304164163748676e-05,0.0010910986987535652
桑寄生,1,14,14,0.03867403314917127,0.00034103356324856267,0.006394289661648923
京大戟,3,10,13,0.027624309392265192,0.0014467408336237982,0.001463404473810443
常山,1,13,13,0.03591160220994475,0.0004340981730707206,0.006399941386569318
板蓝根,1,13,13,0.03591160220994475,0.00036100089587726977,0.0041438273458377995
马勃,1,13,13,0.03591160220994475,0.00036100089587726977,0.0041438273458377995
茺蔚子,1,13,13,0.03591160220994475,0.0003145782666713855,0.0038991698883353697
琥珀,2,12,12,0.03314917127071823,0.0009150701920234706,0.00016564454077643275
大青盐,2,11,12,0.03038674033149171,0.00044390884521277555,0.0022031754445796126
侧柏叶,2,11,12,0.03038674033149171,0.0003838375137366036,0.0007427589656133772
荷叶,2,11,12,0.03038674033149171,0.0003838375137366036,0.0007427589656133772
香薷,2,10,12,0.027624309392265192,0.00021541684388621767,0.0047845598381403
陈仓米,1,12,12,0.03314917127071823,0.00038336805158631604,0.005420595224872191
干漆,1,12,12,0.03314917127071823,0.00034290124736769735,0.004160832247480512
蛴螬,1,12,12,0.03314917127071823,0.00034290124736769735,0.004160832247480512
白豆蔻,1,12,12,0.03314917127071823,0.00018228325841829272,0.003052702605694247
葛花,1,12,12,0.03314917127071823,0.00018228325841829272,0.003052702605694247
棕榈皮,2,11,11,0.03038674033149171,0.00113513084982897,0.0007647699913922914
皂角刺,2,11,11,0.03038674033149171,0.002488847422794728,0.004464139476574883
使君子,2,10,11,0.027624309392265192,0.0010011061669542357,0.0006995608602245511
芫花,2,9,11,0.024861878453038673,0.00011818583260896938,0.001457039729827785
饴糖,2,6,11,0.016574585635359115,0.0,0.009365716244240903
胆汁,1,11,11,0.03038674033149171,0.0004349610818685842,0.006552931519532419
八角茴香,1,11,11,0.03038674033149171,3.736312681671991e-05,0.000964252215057334
