formula_id,formula_name,herbs,herb_count,book_title,chapter_title
162,白通汤,"['干姜', '葱白', '附子']",3,伤寒杂病论义疏,白通汤方
163,白通加猪胆汁汤,"['人尿', '干姜', '猪胆汁', '葱白', '附子']",5,张卿子伤寒论,白通加猪胆汁方第九十六
164,参附汤,"['人参', '附子']",2,时方歌括,附汤
165,黑锡丹,"['八角茴香', '川楝子', '木香', '沉香', '硫黄', '肉桂', '肉豆蔻', '胡芦巴', '补骨脂', '阳起石', '附子', '黑锡']",12,证治准绳·类方,诸逆冲上
166,干姜附子汤,"['干姜', '附子']",2,伤寒寻源,干姜附子汤
167,茯苓四逆汤,"['人参', '干姜', '甘草', '茯苓', '附子']",5,张卿子伤寒论,茯苓四逆汤方第三十
168,乌头赤石脂丸,"['干姜', '花椒', '草乌头', '赤石脂', '附子']",5,金匮要略浅注,胸痹心痛短气病脉证并治第九
169,当归四逆汤,"['大枣', '当归', '桂枝', '甘草', '白芍', '细辛', '通草']",7,名方广用,当归四逆汤　《伤寒论》
170,当归四逆加吴茱萸生姜汤,"['吴茱萸', '大枣', '当归', '桂枝', '甘草', '生姜', '细辛', '芍药', '通草']",9,伤寒杂病论义疏,当归四逆加吴茱萸生姜汤方
171,黄芪桂枝五物汤,"['大枣', '桂枝', '生姜', '白芍', '黄芪']",5,经方一百首,018、黄芪桂枝五物汤
172,阳和汤,"['熟地', '甘草', '肉桂', '骨碎补', '鹿角胶', '麻黄']",6,验方新编,阴疽诸方
173,芍药甘草附子汤,"['甘草', '芍药', '附子']",3,伤寒贯珠集,太阳斡旋法第三
174,乌头汤,"['甘草', '芍药', '草乌头', '麻黄', '黄芪']",5,金匮要略心典,中风历节病脉证并治第五
175,附子粳米汤,"['半夏', '大枣', '甘草', '粳米', '附子']",5,金匮要略心典,腹满寒疝宿食病脉证治第十
176,赤丸,"['半夏', '细辛', '茯苓', '草乌头']",4,金匮要略心典,腹满寒疝宿食病脉证治第十
177,大乌头煎,"['甘草', '草乌头', '黑豆']",3,金匮名医验案精选,大乌头煎
178,乌头桂枝汤,"['大枣', '桂枝', '甘草', '生姜', '芍药', '草乌头']",6,金匮名医验案精选,乌头桂枝汤
179,四君子汤,"['人参', '甘草', '白术', '茯苓']",4,汤头歌诀,四君子汤
180,增损肾沥汤,"['五味子', '人参', '大枣', '川芎', '当归', '桂心', '桑螵蛸', '泽泻', '生地', '生姜', '肾', '芍药', '茯苓', '远志', '鸡内金', '麦冬', '黄芩']",17,普济方,肾虚（附论）
181,香砂六君子汤,"['人参', '半夏', '木香', '甘草', '生姜', '白术', '砂仁', '茯苓', '陈皮']",9,删补名医方论,卷（一）
182,异功散,"['人参', '甘草', '白术', '茯苓', '陈皮']",5,普济方,脾胃气虚弱不能饮食（附论）
183,补中益气汤,"['人参', '升麻', '当归', '柴胡', '甘草', '白术', '陈皮', '黄芪']",8,证治准绳·类方,伤劳倦
184,参苓白术散,"['人参', '党参', '山药', '桔梗', '甘草', '白扁豆', '白术', '砂仁', '茯苓', '莲子', '薏苡仁']",11,名方广用,参芩白术散　《太平惠民和剂局方》
185,保元汤,"['人参', '甘草', '肉桂', '黄芪']",4,时方歌括,保元汤
186,七味白术散,"['人参', '广藿香', '木香', '甘草', '白术', '白茯苓', '粉葛']",7,黄帝素问宣明论方,补养总论
187,升阳益胃汤,"['人参', '半夏', '大枣', '柴胡', '泽泻', '独活', '甘草', '生姜', '白术', '白芍', '羌活', '茯苓', '防风', '陈皮', '黄芪', '黄连']",16,汤头歌诀,升阳益胃
188,生脉散,"['五味子', '人参', '麦冬']",3,时方歌括,生脉散
189,人参胡桃汤,"['人参', '核桃仁']",2,是斋百一选方,观音人参胡桃汤
190,人参蛤蚧散,"['人参', '川贝母', '桑白皮', '甘草', '知母', '苦杏仁', '茯苓', '蛤蚧']",8,医方考,咳嗽门第十七
191,玉屏风散,"['白术', '防风', '黄芪']",3,证治准绳·类方,自汗
192,四物汤,"['川芎', '当归', '生地', '白芍']",4,汤头歌诀,四物
193,贞元饮,"['当归', '熟地', '甘草']",3,时方妙用,喘促
194,增损当归丸,"['丁香', '全蝎', '四物汤', '小茴香', '川楝子', '延胡索', '木香', '独活', '续断', '防风']",10,普济方,血气心腹疼痛
195,圣愈汤,"['川芎', '当归', '黄芪']",3,时方歌括,圣愈汤
196,胶艾汤,"['川芎', '干姜', '当归', '甘草', '生地', '艾叶', '芍药', '阿胶']",8,普济方,从高坠下（附论）
197,当归补血汤,"['当归', '黄芪']",2,时方歌括,当归补血汤
198,归脾汤,"['人参', '当归', '木香', '甘草', '白术', '白茯苓', '远志', '酸枣仁', '黄芪', '龙眼肉']",10,时方歌括,归脾汤
199,人参养荣汤,"['五味子', '人参', '当归', '桂心', '熟地', '甘草', '白术', '白芍', '茯苓', '远志', '陈皮']",11,时方歌括,人参养荣汤
200,增损泽兰丸,"['人参', '厚朴', '川芎', '干姜', '当归', '柏子仁', '桂心', '泽兰', '牛膝', '甘草', '生地', '白术', '白芷', '石斛', '细辛', '芜荑', '藁本', '防风', '附子', '麦冬']",20,普济方,产后调补
201,增损四物汤,"['人参', '川芎', '干姜', '当归', '甘草', '白芍']",6,普济方,虚损
202,八珍汤,"['人参', '地黄', '川芎', '当归', '甘草', '白术', '白芍', '茯苓']",8,验方新编,损伤用药论
203,增损柴胡汤,"['人参', '半夏', '川芎', '柴胡', '甘草', '白芍', '陈皮']",7,类证活人书,卷第十九
204,十全大补汤,"['人参', '川芎', '当归', '熟地', '甘草', '白术', '白芍', '肉桂', '茯苓', '黄芪']",10,医方考,痉门第四十七
205,炙甘草汤,"['人参', '大枣', '桂枝', '火麻仁', '甘草', '生地', '生姜', '阿胶', '麦冬']",9,伤寒括要,太阳篇七十三方
206,泰山磐石散,"['党参', '川芎', '熟地', '甘草', '白术', '白芍', '砂仁', '糯米', '续断', '黄芩', '黄芪']",11,验方新编,保产诸方
207,六味地黄丸,"['地黄', '山茱萸', '山药', '泽泻', '牡丹皮', '茯苓']",6,医方论,补养之剂
208,知柏地黄丸,"['山茱萸', '熟地', '牡丹皮', '知母', '茯苓', '黄柏']",6,验方新编,知柏地黄汤
209,大补阴丸,"['熟地', '猪脊髓', '知母', '黄柏', '龟甲']",5,时方歌括,大补阴丸
210,虎潜丸,"['干姜', '当归', '熟地', '牛膝', '白芍', '知母', '虎胫骨', '锁阳', '陈皮', '黄柏', '龟甲']",11,时方歌括,虎潜丸
211,二至丸,"['大青盐', '杜仲', '补骨脂', '附子', '鹿角', '麋角']",6,严氏济生方,二至丸
212,桑麻丸,"['桑叶', '蜂蜜', '黑芝麻']",3,医方论,补养之剂
213,石斛夜光丸,"['五味子', '人参', '地黄', '天冬', '山药', '川芎', '枳壳', '枸杞子', '熟地', '牛膝', '犀角', '甘草', '石斛', '羚羊角', '肉苁蓉', '苦杏仁', '茯苓', '菊花', '菟丝子', '蒺藜', '防风', '青葙子', '麦冬', '黄连']",24,证治准绳·类方,内障
214,黄连阿胶汤,"['芍药', '阿胶', '鸡子黄', '黄芩', '黄连']",5,伤寒杂病论义疏,干地黄知母黄连阿胶汤方
215,肾气丸,"['山茱萸', '山药', '桂枝', '泽泻', '牡丹皮', '生地', '茯苓', '附子']",8,金匮要略心典,妇人杂病脉证并治第二十二
216,济生肾气丸,"['山茱萸', '山药', '泽泻', '熟地', '牛膝', '牡丹皮', '肉桂', '茯苓', '车前子', '附子']",10,金匮要略浅注,水气病脉证并治第十四
